H,B,S,V,R,E,F,CCI
0.19853173702260826,0.9467977878049976,0.2213660802109271,0.7900238046055695,1.0,0.6313438819288205,0.3623222101951594,0.5443465354810043
0.5335762590641598,1.0,0.26066315347064556,0.83174554732223,0.39103368089355073,0.6034037281501172,0.3493764473066213,0.5701741862090626
0.6087978729854038,0.6068844086353447,0.2883336020106974,0.7020577760761704,0.8274168623902115,0.6066981044195656,0.3455358568302026,0.5369930524259756
0.4061918372828627,0.6339786115533745,0.27130209166655894,0.2699568658751054,0.515104857510539,0.4193068527776882,0.23008568939190555,0.7557318183455413
0.8277312066907759,0.959610775778767,0.2641919439970885,0.9638251710443069,0.3049659591125656,0.6640650113247007,0.40121869745673155,0.5590535994902789
1.0,0.16117595011946662,0.21926566937664724,1.0,0.991980228418113,0.6744843695828454,0.37970858163865634,0.5526380390697808
0.697305486413067,0.43716794694874994,0.282498981948131,0.9272915735319365,0.9147953234101117,0.6518118624503992,0.4010513053292959,0.5487173797977359
0.7275914217657018,1.0,0.23197860124948946,0.7409687839899631,0.2553851572030131,0.5911847928416336,0.340771850752649,0.5521903279865813
0.6445398208654055,0.7412808988407078,0.32231209599150645,0.7196387551895064,0.7290200134303825,0.6313583168635016,0.36115050725499714,0.5635941738413358
0.9757295018346871,1.0,0.20076880734756386,0.12013495007506764,1.0,0.6593266518514638,0.3622478601952577,0.5532239505656361
1.0,0.7484654762649181,0.28094698523864853,0.4629575128516116,0.6970383883049891,0.6378816725320335,0.3859113530556838,0.549192449086326
1.0,0.15233298890029928,0.23097473607487487,0.9403000295345326,0.8776738392896302,0.6402563187598673,0.34795269972571785,0.6026886468660638
1.0,0.7529650014895382,0.2730059208341214,0.6489750438933438,0.46731321358031236,0.6284518359594632,0.3777666276728865,0.5415457715163233
1.0,1.0,0.283787965645151,0.34196968305017417,0.7714707610606898,0.679445681951203,0.42140300237939987,0.5808501861331195
0.9494181508643015,0.15011113573483223,0.21266144958052696,0.9661635078148875,1.0,0.6556708487989097,0.36615811354882394,0.5523380744192151
0.8902899800976221,0.34696841035949905,0.21116546987682833,0.3790164211817336,0.8766170417271835,0.5408114646485733,0.32674207246166287,0.5328034847723897
0.5347008945462292,0.7575648190695168,0.3074483018128801,0.8083635265723124,0.6190315487173115,0.60542181814365,0.3340932299924998,0.5805011390044779
0.6619851358702046,0.6166789363363687,0.29169542552666455,0.6697003414497306,0.8236248834148123,0.6127369445195562,0.35132716310034545,0.5346396325317632
0.6577024245092083,0.8891151114316739,0.301596707379841,0.5811481264343032,0.7659909699569556,0.6391106679423963,0.3825490973483976,0.5476998992405046
1.0,0.7872115965963175,0.28458097767694174,0.8829520124810629,0.36339232103857144,0.6636273815585787,0.40550033810022545,0.5739221292321914
1.0,0.8844086025157596,0.3050219249219765,0.555981353856057,0.6327419966207044,0.6756307755828994,0.43620220767097045,0.5590449207366163
0.6991696209886139,0.731583000144367,0.2961220837052242,0.8739860056607311,0.5331300112210731,0.6267981443440018,0.3669961599172585,0.5494989587398893
0.7102313184806793,0.6654337263570682,0.3192886526695507,0.9149840396016411,0.6726612981103832,0.6565198070438645,0.4026129617308428,0.559784345514946
0.8960789105622529,0.953605216428115,0.2845578000331851,0.4039791617979572,0.7677771934427878,0.6611996564528596,0.40916318520446254,0.5562264861241588
0.21430270007747437,1.0,0.22575408903386285,0.9038699181340221,0.7811249536983336,0.6250103321887386,0.3597968884406578,0.5454259461493757
0.40491316481816275,1.0,0.2518565243309899,1.0,0.4912063967708155,0.6295952171839936,0.3782952834150668,0.5536331037473073
0.5382680949860867,0.6241504918111928,0.2536317174270799,0.5507681660502515,0.4320630687013745,0.4797763077951971,0.2609907058590598,0.5690099805723946
0.9006562820928203,0.4138740417810511,0.2659652906896335,0.5948925203562964,1.0,0.6350776269839603,0.38312391194277584,0.5500454052197424
0.5017831571647594,0.8150502058230515,0.297254537235434,0.7883574742757712,0.7389732268028308,0.6282837202603694,0.36727808485851404,0.5525749639724993
